name;startDateTime;sales_datetime;end_datetime;min_price;max_price;nameArtist;type;subtype;VenueName;VenueCity;VenueState;links;num_links;spotify_url;seguidores;popularidad;youtube_url;subscriptores;wiki_url;premios;VenueClass;NumGeneros;URL_Wikipedia;Edad;DiasVenta;dias_desde_finVenta;peso_promotor;tiene_lastfm_url;Generos_combinados;conciertos_del_artista_en_ciudad
Los Secretos;2024-08-01 20:00:00+00:00;2023-12-07 17:20:00+00:00;2024-07-30 21:59:00+00:00;30.01;51.43;Los Secretos;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/lossecretos'}], 'twitter': [{'url': 'https://twitter.com/los_secretos'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/los-secretos/23969145'}], 'facebook': [{'url': 'https://www.facebook.com/lossecretos'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2KEDbpUlz9nwtGywHT4gyf?autoplay=true'}], 'musicbrainz': [{'id': 'ec5872e7-9d15-4624-b949-c82e700fd2e9'}], 'instagram': [{'url': 'https://www.instagram.com/lossecretos/?hl=en'}], 'homepage': [{'url': 'http://www.los-secretos.net/'}]};8;https://open.spotify.com/artist/2KEDbpUlz9nwtGywHT4gyf?autoplay=true;443129.0;54.0;https://www.youtube.com/user/lossecretos;1716398.4314720812;;;0;5;https://es.wikipedia.org/wiki/Los_Secretos;;236;1.0;65;0;Rock,Pop;2.0
Luis Miguel;2024-08-02 20:00:00+00:00;2023-11-25 18:51:00+00:00;2024-07-31 21:59:00+00:00;179.46;516.07;Luis Miguel;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]};9;https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true;14968817.0;82.0;https://www.youtube.com/OficialLuisMiguel;1716398.4314720812;https://en.wikipedia.org/wiki/Luis_Miguel;12.0;0;2;https://es.wikipedia.org/wiki/Luis_Miguel;53.0;249;1.0;65;0;World,Latin;6.0
Luis Miguel;2024-08-03 20:00:00+00:00;2024-01-17 16:34:00+00:00;2024-08-01 21:59:00+00:00;179.46;516.07;Luis Miguel;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]};9;https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true;14968817.0;82.0;https://www.youtube.com/OficialLuisMiguel;1716398.4314720812;https://en.wikipedia.org/wiki/Luis_Miguel;12.0;0;2;https://es.wikipedia.org/wiki/Luis_Miguel;53.0;197;1.0;65;0;World,Latin;6.0
Antonio José;2024-08-06 20:00:00+00:00;2023-11-30 17:00:00+00:00;2024-08-04 21:59:00+00:00;30.01;79.29;Antonio José;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UClRNgWeZjoWVqXRfjNDY1gw'}], 'twitter': [{'url': 'https://mobile.twitter.com/officialcfajose'}], 'itunes': [{'url': 'https://music.apple.com/es/artist/antonio-jos%C3%A9/27516259'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1dbp04JzZ81JXlMGupCnJ8?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/antoniojoseidolo/'}]};5;https://open.spotify.com/artist/1dbp04JzZ81JXlMGupCnJ8?autoplay=true;535307.0;61.0;https://www.youtube.com/channel/UClRNgWeZjoWVqXRfjNDY1gw;912000.0;;;0;2;https://es.wikipedia.org/wiki/Antonio_José_(cantante);29.0;248;1.0;65;0;World,Latin;2.0
Hauser;2024-08-07 20:00:00+00:00;2024-01-18 11:00:00+00:00;2024-08-05 21:59:00+00:00;35.71;78.57;HAUSER;Individual;Musician;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UC09GemGjss3hPdljwtJ8TPA'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/hauser/1477236687'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2iSn12gFykgv92aTvPiH4s?autoplay=true'}], 'facebook': [{'url': 'https://www.facebook.com/hauserofficial'}], 'instagram': [{'url': 'https://www.instagram.com/hausercello/'}], 'homepage': [{'url': 'https://hauserofficial.com/'}]};6;https://open.spotify.com/artist/2iSn12gFykgv92aTvPiH4s?autoplay=true;287013.0;55.0;https://www.youtube.com/channel/UC09GemGjss3hPdljwtJ8TPA;3070000.0;;;0;1;https://es.wikipedia.org/wiki/Tim_Hauser;72.0;200;1.0;65;0;Classical/Vocal,Classical;2.0
Miguel Poveda - Poema del Cante Jondo;2024-08-08 20:00:00+00:00;2023-11-30 16:57:00+00:00;2024-08-06 21:59:00+00:00;30.01;54.29;Miguel Poveda;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/CanalMiguelPoveda'}], 'twitter': [{'url': 'https://twitter.com/mpovedaoficial'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/miguel-poveda/28215086'}], 'facebook': [{'url': 'https://www.facebook.com/pages/Miguel-Poveda-P%C3%A1gina-oficial/145367088865184'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Miguel_Poveda'}], 'spotify': [{'url': 'https://open.spotify.com/artist/0BwjxWHTct80Qp5Xk7pxZj?autoplay=true'}], 'musicbrainz': [{'id': 'e0cffbb8-b5ee-44a9-a40b-ccdf55a2b0c2'}], 'instagram': [{'url': 'https://www.instagram.com/miguelpoveda/'}], 'homepage': [{'url': 'http://www.miguelpoveda.com/'}]};9;https://open.spotify.com/artist/0BwjxWHTct80Qp5Xk7pxZj?autoplay=true;189866.0;48.0;https://www.youtube.com/user/CanalMiguelPoveda;1716398.4314720812;https://en.wikipedia.org/wiki/Miguel_Poveda;0.0;0;4;https://es.wikipedia.org/wiki/Miguel_Poveda;51.0;250;1.0;65;0;World,Flamenco;2.0
Gordo;2024-08-08 21:45:00+00:00;2023-11-27 11:00:00+00:00;2024-08-08 21:59:00+00:00;25.0;30.0;Gordo;Individual;Musician;Concert Music Festival;Chiclana de la Frontera;Cádiz;;0;;4564084.492307693;60.90461538461538;;1716398.4314720812;;;2;1;https://es.wikipedia.org/wiki/Gordo_Casaretto;72.0;255;-1.0;2;0;Dance/Electronic;2.0
UB40 Featuring Ali Campbell in memory of Astro;2024-08-09 20:00:00+00:00;2024-01-09 11:46:00+00:00;2024-08-07 21:59:00+00:00;30.01;65.18;UB40 Featuring Ali Campbell in memory of Astro;Group;Band;Auditorio Starlite;Marbella;Málaga;{'itunes': [{'url': 'https://music.apple.com/us/artist/ub40-featuring-ali-campbell-astro/1508545774'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2HxTGrCCm6d5By7Zo1j38R'}], 'homepage': [{'url': 'https://ub40.org'}]};3;https://open.spotify.com/artist/2HxTGrCCm6d5By7Zo1j38R;5945.0;19.0;;1716398.4314720812;;;0;1;;;211;1.0;65;0;Reggae;2.0
La Oreja de Van Gogh;2024-08-14 20:00:00+00:00;2023-11-28 20:04:00+00:00;2024-08-12 21:59:00+00:00;30.01;66.43;La Oreja de Van Gogh;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UCQ4MZOOAHcxQREVb_PDejLg'}], 'twitter': [{'url': 'https://twitter.com/laorejadevgogh'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/la-oreja-de-van-gogh/14508321'}], 'facebook': [{'url': 'https://www.facebook.com/Laorejadevangogh.Oficial'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/La_Oreja_de_Van_Gogh'}], 'spotify': [{'url': 'https://open.spotify.com/artist/4U7lXyKdSf1JbM1aXvsodC'}], 'instagram': [{'url': 'https://www.instagram.com/laorejadevgogh'}, {'url': 'https://www.instagram.com/laorejadevgogh/'}], 'musicbrainz': [{'id': 'a7c38944-b3fa-4a3d-a4bd-d3b3b06f0cbf'}], 'homepage': [{'url': 'http://www.laorejadevangogh.com/'}]};9;https://open.spotify.com/artist/4U7lXyKdSf1JbM1aXvsodC;3682868.0;72.0;https://www.youtube.com/channel/UCQ4MZOOAHcxQREVb_PDejLg;2800000.0;https://en.wikipedia.org/wiki/La_Oreja_de_Van_Gogh;0.0;0;5;https://es.wikipedia.org/wiki/La_Oreja_de_Van_Gogh;;258;1.0;65;0;World,Latin;2.0
Abraham Mateo y Nil Moliner;2024-08-16 20:00:00+00:00;2024-01-18 11:00:00+00:00;2024-08-14 21:59:00+00:00;30.01;57.14;Abraham Mateo;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/AbrahamMateoVEVO'}], 'twitter': [{'url': 'https://twitter.com/abrahammateomus'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id340701347'}], 'lastfm': [{'url': 'http://www.last.fm/music/Abraham+Mateo'}], 'facebook': [{'url': 'https://www.facebook.com/AbrahamMateoOficial'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Abraham_Mateo'}], 'instagram': [{'url': 'https://instagram.com/abrahammateomus'}], 'musicbrainz': [{'id': 'ae44dccd-8fdc-42ff-84a6-2a0549bacca4'}], 'homepage': [{'url': 'http://www.abrahammateoofficial.com/'}]};9;;4564084.492307693;60.90461538461538;https://www.youtube.com/user/AbrahamMateoVEVO;1716398.4314720812;https://en.wikipedia.org/wiki/Abraham_Mateo;3.0;0;1;https://es.wikipedia.org/wiki/Abraham_Mateo;25.0;209;1.0;65;1;Pop;2.0
Ballet Flamenco Sara Baras;2024-08-17 20:00:00+00:00;2023-11-28 20:55:00+00:00;2024-08-15 21:59:00+00:00;30.01;52.86;Ballet Flamenco Sara Baras;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;;0;;4564084.492307693;60.90461538461538;;1716398.4314720812;;;0;1;https://es.wikipedia.org/wiki/Sara_Baras;52.0;261;1.0;65;0;Dance;2.0
Siempre Así;2024-08-19 20:00:00+00:00;2023-12-07 17:25:00+00:00;2024-08-17 21:59:00+00:00;30.01;53.57;Siempre Así;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UCOcaX9WkHD7U_josjEnJg2A'}], 'twitter': [{'url': 'https://mobile.twitter.com/siempreasi_ofic'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/siempre-as%C3%AD/2784585'}], 'spotify': [{'url': 'https://open.spotify.com/artist/19pSE6YNJgeX39rGEdave5?autoplay=true'}], 'musicbrainz': [{'id': '9a9a5c20-5d69-473e-a3f3-4e6c028f4a07'}], 'instagram': [{'url': 'https://www.instagram.com/siempreasioficial/'}], 'homepage': [{'url': 'http://www.siempreasi.es/'}]};7;https://open.spotify.com/artist/19pSE6YNJgeX39rGEdave5?autoplay=true;127899.0;49.0;https://www.youtube.com/channel/UCOcaX9WkHD7U_josjEnJg2A;78500.0;;;0;2;https://es.wikipedia.org/wiki/Siempre_así;;254;1.0;65;0;;2.0
Marc Seguí - AAAAAA Tour;2024-02-17 21:15:00+00:00;2023-04-17 19:00:00+00:00;2024-02-17 11:30:00+00:00;20.0;20.0;Marc Seguí;Undefined;Undefined;Sala Rem;Murcia;Murcia;;0;;4564084.492307693;60.90461538461538;;1716398.4314720812;;;0;1;https://es.wikipedia.org/wiki/Marc_Seguí;25.0;305;0.0;14;0;New Wave,Rock,Pop;1.0
Dead Poet Society;2024-02-17 20:00:00+00:00;2023-09-12 08:00:00+00:00;2024-02-17 20:00:00+00:00;20.0;20.0;Dead Poet Society;Undefined;Undefined;Sala El Sol;Madrid;Madrid;{'youtube': [{'url': 'https://www.youtube.com/channel/UCSIDln9BMrcXa6Pmeu7NDew'}], 'twitter': [{'url': 'https://twitter.com/WeAreDPS'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/dead-poet-society/583985425'}], 'spotify': [{'url': 'https://open.spotify.com/artist/31M8EXHYtEqOqVb1X7JRVe?autoplay=true'}], 'facebook': [{'url': 'https://www.facebook.com/deadpoetsocietyband/'}], 'instagram': [{'url': 'https://www.instagram.com/wearedps/'}], 'homepage': [{'url': 'https://www.wearedps.com/'}]};7;https://open.spotify.com/artist/31M8EXHYtEqOqVb1X7JRVe?autoplay=true;141559.0;54.0;https://www.youtube.com/channel/UCSIDln9BMrcXa6Pmeu7NDew;46600.0;;;0;2;https://es.wikipedia.org/wiki/Yoo_Ha-na;38.0;158;0.0;85;0;Rock,Alternative Rock,Pop;1.0
Dead Poet Society;2024-02-18 19:30:00+00:00;2023-09-12 08:00:00+00:00;2024-02-18 20:00:00+00:00;20.0;20.0;Dead Poet Society;Undefined;Undefined;Sala Razzmatazz 3;Barcelona;Barcelona;{'youtube': [{'url': 'https://www.youtube.com/channel/UCSIDln9BMrcXa6Pmeu7NDew'}], 'twitter': [{'url': 'https://twitter.com/WeAreDPS'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/dead-poet-society/583985425'}], 'spotify': [{'url': 'https://open.spotify.com/artist/31M8EXHYtEqOqVb1X7JRVe?autoplay=true'}], 'facebook': [{'url': 'https://www.facebook.com/deadpoetsocietyband/'}], 'instagram': [{'url': 'https://www.instagram.com/wearedps/'}], 'homepage': [{'url': 'https://www.wearedps.com/'}]};7;https://open.spotify.com/artist/31M8EXHYtEqOqVb1X7JRVe?autoplay=true;141559.0;54.0;https://www.youtube.com/channel/UCSIDln9BMrcXa6Pmeu7NDew;46600.0;;;0;2;https://es.wikipedia.org/wiki/Yoo_Ha-na;38.0;159;-1.0;85;0;Rock,Alternative Rock,Pop;1.0
