name,EventStartTime,SalesStartTIme,SalesEndTime,min_price,max_price,nameArtist,VenueName,VenueCity,VenueState,num_links,seguidoresSpotify,popularidad,subsYT,VenueClass,NumGeneros,peso_promotor,tiene_lastfm_url,Generos_combinados,conciertos_del_artista_en_ciudad,tiene_twitter,tiene_instagram,tiene_itunes,tiene_homepage,Adult Contemporary,Alternative,Alternative Rock,Ballads/Romantic,Blues,Classical,Classical/Vocal,Club Dance,Dance,Dance/Electronic,Flamenco,Folk,Funky Breaks,Hard Rock,Heavy Metal,Hip-Hop/Rap,Indie Pop,Jazz,Jazz Blues,K-Pop,Latin,Latin Pop,Metal,New Wave,Other,Performance Art,Pop,Pop Metal,Pop Rock,Pop Vocal,Psychedelic,R&B,Reggae,Rock,Singer-Songwriter,Soul,Urban,World,tiene_wiki,tiene_youtube,dias_Venta,dias_desdeFinVenta,num_noches
Antonio José,2024-08-06 20:00:00+00:00,2023-11-30 17:00:00+00:00,2024-08-04 21:59:00+00:00,30.01,79.29,Antonio José,Auditorio Starlite,Marbella,Málaga,5,535307.0,61.0,912000.0,0,2,65,0,"World,Latin",2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,248,1,1
Hauser,2024-08-07 20:00:00+00:00,2024-01-18 11:00:00+00:00,2024-08-05 21:59:00+00:00,35.71,78.57,HAUSER,Auditorio Starlite,Marbella,Málaga,6,287013.0,55.0,3070000.0,0,1,65,0,"Classical/Vocal,Classical",2.0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,1,1
Miguel Poveda - Poema del Cante Jondo,2024-08-08 20:00:00+00:00,2023-11-30 16:57:00+00:00,2024-08-06 21:59:00+00:00,30.01,54.29,Miguel Poveda,Auditorio Starlite,Marbella,Málaga,9,189866.0,48.0,1716398.4314720812,0,4,65,0,"World,Flamenco",2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,250,1,1
Gordo,2024-08-08 21:45:00+00:00,2023-11-27 11:00:00+00:00,2024-08-08 21:59:00+00:00,25.0,30.0,Gordo,Concert Music Festival,Chiclana de la Frontera,Cádiz,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1,2,0,Dance/Electronic,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,-1,2
UB40 Featuring Ali Campbell in memory of Astro,2024-08-09 20:00:00+00:00,2024-01-09 11:46:00+00:00,2024-08-07 21:59:00+00:00,30.01,65.18,UB40 Featuring Ali Campbell in memory of Astro,Auditorio Starlite,Marbella,Málaga,3,5945.0,19.0,1716398.4314720812,0,1,65,0,Reggae,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,211,1,2
La Oreja de Van Gogh,2024-08-14 20:00:00+00:00,2023-11-28 20:04:00+00:00,2024-08-12 21:59:00+00:00,30.01,66.43,La Oreja de Van Gogh,Auditorio Starlite,Marbella,Málaga,9,3682868.0,72.0,2800000.0,0,5,65,0,"World,Latin",2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,258,1,1
Abraham Mateo y Nil Moliner,2024-08-16 20:00:00+00:00,2024-01-18 11:00:00+00:00,2024-08-14 21:59:00+00:00,30.01,57.14,Abraham Mateo,Auditorio Starlite,Marbella,Málaga,9,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,65,1,Pop,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,209,1,1
Ballet Flamenco Sara Baras,2024-08-17 20:00:00+00:00,2023-11-28 20:55:00+00:00,2024-08-15 21:59:00+00:00,30.01,52.86,Ballet Flamenco Sara Baras,Auditorio Starlite,Marbella,Málaga,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,65,0,Dance,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,1,1
Siempre Así,2024-08-19 20:00:00+00:00,2023-12-07 17:25:00+00:00,2024-08-17 21:59:00+00:00,30.01,53.57,Siempre Así,Auditorio Starlite,Marbella,Málaga,7,127899.0,49.0,78500.0,0,2,65,0,Pop,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,254,1,1
Marc Seguí - AAAAAA Tour,2024-02-17 21:15:00+00:00,2023-04-17 19:00:00+00:00,2024-02-17 11:30:00+00:00,20.0,20.0,Marc Seguí,Sala Rem,Murcia,Murcia,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,14,0,"New Wave,Rock,Pop",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,305,0,1
Dead Poet Society,2024-02-17 20:00:00+00:00,2023-09-12 08:00:00+00:00,2024-02-17 20:00:00+00:00,20.0,20.0,Dead Poet Society,Sala El Sol,Madrid,Madrid,7,141559.0,54.0,46600.0,0,2,85,0,"Rock,Alternative Rock,Pop",1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,158,0,1
Dead Poet Society,2024-02-18 19:30:00+00:00,2023-09-12 08:00:00+00:00,2024-02-18 20:00:00+00:00,20.0,20.0,Dead Poet Society,Sala Razzmatazz 3,Barcelona,Barcelona,7,141559.0,54.0,46600.0,0,2,85,0,"Rock,Alternative Rock,Pop",1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,159,-1,1
Dreamcatcher,2024-02-17 18:30:00+00:00,2024-01-08 14:00:00+00:00,2024-02-17 18:30:00+00:00,105.0,125.0,Dreamcatcher,Sant Jordi Club,Barcelona,Barcelona,6,1338229.0,60.0,1740000.0,1,2,1,0,"Rock,Pop,K-Pop",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,40,0,1
Manolo García - Gira Teatros,2024-02-17 20:30:00+00:00,2023-11-10 11:00:00+00:00,2024-02-17 20:30:00+00:00,55.0,80.0,Manolo Garcia,Pabellón Príncipe Felipe,Zaragoza,Saragossa,5,617811.0,57.0,199000.0,1,4,6,0,"Rock,Pop",1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,99,0,1
The Australian Pink Floyd Show,2024-02-22 19:30:00+00:00,2023-07-25 15:08:00+00:00,2024-02-22 19:30:00+00:00,40.0,40.0,Australian Pink Floyd Show,Live Las Ventas,Madrid,Madrid,5,4564084.492307693,60.90461538461538,1716398.4314720812,2,1,8,0,"Rock,Pop",2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,212,0,2
Hens,2024-02-23 20:00:00+00:00,2023-03-03 11:00:00+00:00,2024-02-23 20:00:00+00:00,30.0,30.0,Hens,WiZink Center,Madrid,Madrid,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1,14,0,"Rock,Pop",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,357,0,1
Café Quijano,2024-02-23 19:00:00+00:00,2023-11-02 13:33:00+00:00,2024-02-23 19:00:00+00:00,34.0,38.0,Café Quijano,Teatro Buero Vallejo,Guadalajara,Guadalajara,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1,16,0,"Other,Pop,Rock",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,113,0,1
Fran Perea,2024-02-23 20:00:00+00:00,2023-09-26 10:00:00+00:00,2024-02-23 20:00:00+00:00,25.0,38.0,Fran Perea,La Riviera,Madrid,Madrid,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1,65,0,"Rock,Pop,Pop Vocal",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,150,0,1
Rulo y la Contrabanda - Tour 5,2024-02-24 20:00:00+00:00,2023-10-19 10:00:00+00:00,2024-02-24 20:00:00+00:00,32.0,32.0,Rulo y la Contrabanda,La Riviera,Madrid,Madrid,6,179092.0,50.0,67000.0,1,4,65,0,"Rock,Pop",1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,128,0,1
Café Quijano,2024-02-24 19:30:00+00:00,2023-10-16 14:58:00+00:00,2024-02-24 19:30:00+00:00,30.0,40.0,Café Quijano,Teatro Alkázar,Plasencia,Cáceres,0,4564084.492307693,60.90461538461538,1716398.4314720812,1,1,16,0,"Other,Pop,Rock",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,131,0,1
Fran Perea,2024-02-24 20:00:00+00:00,2023-09-26 10:00:00+00:00,2024-02-24 20:00:00+00:00,25.0,38.0,Fran Perea,Sala Custom,Sevilla,Seville,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,65,0,"Rock,Pop,Pop Vocal",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,151,0,1
IAMDDB,2024-02-26 20:00:00+00:00,2024-01-12 13:45:00+00:00,2024-01-25 12:10:00+00:00,26.0,26.0,IAMDDB,La 2 de Apolo,Barcelona,Barcelona,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,85,0,"Rock,Pop,Soul,R&B",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,12,32,1
The 1975,2024-02-27 20:00:00+00:00,2023-09-08 08:00:00+00:00,2024-02-27 20:00:00+00:00,55.0,115.0,The 1975,WiZink Center,Madrid,Madrid,10,7094942.0,77.0,1716398.4314720812,2,5,85,1,"Rock,Pop",1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,172,0,1
Gonzalo Alhambra,2024-02-27 21:00:00+00:00,2024-01-08 11:00:00+00:00,2024-02-27 21:00:00+00:00,12.0,12.0,Gonzalo Alhambra,Fun Club Sevilla,Sevilla,Seville,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,15,0,"Rock,Pop,Latin Pop",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,1
Nothing But Thieves,2024-02-29 19:30:00+00:00,2023-06-16 08:00:00+00:00,2024-02-29 19:30:00+00:00,30.0,30.0,Nothing But Thieves,Sala Razzmatazz,Barcelona,Barcelona,9,1143039.0,70.0,1716398.4314720812,0,3,85,1,"Rock,Pop",1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,258,0,1
Dystinct,2024-02-29 19:30:00+00:00,2023-12-13 11:00:00+00:00,2024-02-29 19:30:00+00:00,22.0,22.0,Dystinct,Sala Razzmatazz 2,Barcelona,Barcelona,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,85,0,"Rock,Pop,Hip-Hop/Rap",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,1
Nothing But Thieves,2024-03-01 20:00:00+00:00,2023-06-16 08:00:00+00:00,2024-03-01 20:00:00+00:00,30.0,30.0,Nothing But Thieves,La Riviera,Madrid,Madrid,9,1143039.0,70.0,1716398.4314720812,1,3,85,1,"Rock,Pop",5.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,259,0,5
Manolo García - Gira Teatros,2024-03-01 20:00:00+00:00,2023-11-10 11:00:00+00:00,2024-03-01 20:00:00+00:00,55.0,85.0,Manolo Garcia,Pal. de los Dep. Carolina Marín,Huelva,Huelva,5,617811.0,57.0,199000.0,1,4,5,0,"Rock,Pop",1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,112,0,1
Marc Seguí - AAAAAA Tour,2024-03-02 20:30:00+00:00,2023-04-17 19:00:00+00:00,2024-03-02 20:30:00+00:00,20.0,20.0,Marc Seguí,Es Gremi,Palma de Mallorca,Balearic Islands,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,14,0,"New Wave,Rock,Pop",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,320,0,1
La Bien Querida,2024-03-02 20:30:00+00:00,2023-12-15 11:00:00+00:00,2024-03-02 20:30:00+00:00,25.0,25.0,La Bien Querida,Live Las Ventas,Madrid,Madrid,2,4564084.492307693,60.90461538461538,1716398.4314720812,2,1,8,0,"Rock,Pop",1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,1
BURNING - CONCIERTO ESPECIAL 50 ANIVERSARIO,2024-03-07 20:00:00+00:00,2023-09-25 10:00:00+00:00,2024-03-07 20:00:00+00:00,30.0,30.0,Burning,La Riviera,Madrid,Madrid,1,4564084.492307693,60.90461538461538,1716398.4314720812,1,1,2,0,"Rock,Pop",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,164,0,1
Miriam Rodríguez,2024-03-08 21:00:00+00:00,2023-12-12 11:00:00+00:00,2024-03-08 21:00:00+00:00,25.0,60.0,Miriam Rodriguez,Inn Club,A Coruña,La Corunna,5,208232.0,45.0,132000.0,0,1,16,0,"Rock,Pop",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,87,0,1
"30 Aniversario de Sôber, con Savia y Skizoo | Soundcheck Experience",2024-03-08 20:00:00+00:00,2023-12-14 11:00:00+00:00,2024-03-08 20:00:00+00:00,50.0,50.0,Sober,Live Las Ventas,Madrid,Madrid,1,4564084.492307693,60.90461538461538,1716398.4314720812,2,1,22,0,"Rock,Pop,Metal,Pop Metal",2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,85,0,1
"30 Aniversario de Sôber, con Savia y Skizoo",2024-03-08 20:00:00+00:00,2023-12-14 11:00:00+00:00,2024-03-08 20:00:00+00:00,28.0,28.0,Sober,Live Las Ventas,Madrid,Madrid,1,4564084.492307693,60.90461538461538,1716398.4314720812,2,1,22,0,"Rock,Pop,Metal,Pop Metal",2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,85,0,1
Walls,2024-03-08 20:00:00+00:00,2023-11-01 09:00:00+00:00,2024-03-08 20:00:00+00:00,25.0,25.0,Walls,Sala La Paqui (Antigua Sala But),Madrid,Madrid,2,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,85,0,"Rock,Pop,Dance/Electronic,Club Dance",4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,128,0,4
Fran Perea,2024-03-08 20:00:00+00:00,2023-09-26 10:00:00+00:00,2024-03-08 20:00:00+00:00,25.0,38.0,Fran Perea,Sala Camelot,Salamanca,Salamanca,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,65,0,"Rock,Pop,Pop Vocal",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,164,0,1
Rulo y la Contrabanda - Tour 5,2024-03-09 20:00:00+00:00,2023-10-19 10:00:00+00:00,2024-03-09 20:00:00+00:00,32.0,32.0,Rulo y la Contrabanda,Sala Razzmatazz 1,Barcelona,Barcelona,6,179092.0,50.0,67000.0,0,4,65,0,"Rock,Pop",1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,142,0,1
Manolo García - Gira Teatros,2024-03-09 20:30:00+00:00,2023-10-18 08:00:00+00:00,2024-03-09 20:30:00+00:00,50.0,75.0,Manolo Garcia,Rec.Ferial de Herrera del Duque,Badajoz,Badajoz,5,617811.0,57.0,199000.0,1,4,6,0,"Rock,Pop",1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,143,0,1
Antonio José,2024-03-09 20:00:00+00:00,2023-09-13 10:00:00+00:00,2024-03-09 20:00:00+00:00,27.0,55.0,Antonio José,Live Las Ventas,Madrid,Madrid,5,535307.0,61.0,912000.0,2,2,2,0,"Rock,Pop,World,Latin",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,178,0,1
Café Quijano,2024-03-10 19:00:00+00:00,2023-10-11 17:28:00+00:00,2024-03-10 19:00:00+00:00,30.0,40.0,Café Quijano,Palacio de Congresos de Mérida,Mérida,Badajoz,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,16,0,"Other,Pop,Rock",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,151,0,1
Depeche Mode - Memento Mori Tour,2024-03-12 20:30:00+00:00,2023-07-19 08:00:00+00:00,2024-03-12 20:30:00+00:00,50.0,270.0,Depeche Mode,WiZink Center,Madrid,Madrid,10,6163482.0,74.0,1716398.4314720812,2,6,4,1,"Rock,Alternative Rock,Pop",2.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,237,0,2
The Clockworks,2024-03-12 20:00:00+00:00,2023-10-09 08:00:00+00:00,2024-03-12 20:00:00+00:00,18.0,18.0,The Clockworks,Moby Dick Club,Madrid,Madrid,6,17206.0,34.0,3090.0,0,5,85,0,"Rock,Pop",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,155,0,1
The Clockworks,2024-03-13 19:30:00+00:00,2023-10-09 08:00:00+00:00,2024-03-13 19:30:00+00:00,18.0,18.0,The Clockworks,Sala Razzmatazz 3,Barcelona,Barcelona,6,17206.0,34.0,3090.0,0,5,85,0,"Rock,Pop",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,156,0,1
Vida Records & Friends: Lime Garden,2024-03-14 18:30:00+00:00,2023-11-15 10:45:00+00:00,2024-03-14 18:30:00+00:00,10.0,10.0,Vida Records & Friends,Antiga Fàbrica Estrella Damm,Barcelona,Barcelona,0,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,2,0,"Rock,Alternative,Pop,Indie Pop",1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,120,0,1
