name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,num_links,seguidores,popularidad,seguidoresLast,subscriptores,premios,VenueClass,NumGeneros
Jorge Celedón,"See Events Experience, S.L.",2024-05-12T18:00:00Z,2024-02-15T10:50:00Z,2024-05-12T19:00:00Z,35.0,80.0,Other,Other,Jorge Celedon,World,Latin,Undefined,Undefined,Palacio Vistalegre,Madrid,Madrid,7,1848327,60,0,948000,0,ESTADIO S,2
Parra for Cuva,"Houston Party, SL",2024-05-16T19:30:00Z,2023-12-05T13:00:00Z,2024-05-16T19:00:00Z,25.0,25.0,Dance/Electronic,Dance/Electronic,Parra for Cuva,Dance/Electronic,Dance/Electronic,Individual,Individual,Sala Razzmatazz 2,Barcelona,Barcelona,9,184122,58,0,0,0,SALA,3
Parra for Cuva,"Houston Party, SL",2024-05-17T19:30:00Z,2023-12-05T13:00:00Z,2024-05-17T19:00:00Z,25.0,25.0,Dance/Electronic,Dance/Electronic,Parra for Cuva,Dance/Electronic,Dance/Electronic,Individual,Individual,Sala Changó,Madrid,Madrid,9,184122,58,0,0,0,SALA,3
Jorge Celedón,"See Events Experience, S.L.",2024-05-17T22:00:00Z,2024-02-09T17:05:00Z,2024-05-17T21:50:00Z,55.0,500.0,Other,Other,Jorge Celedon,World,Latin,Undefined,Undefined,Retro Valencia Disco,Valencia,Valencia,7,1848327,60,0,948000,0,,2
CHUMI DJ presenta YESTERDAY 17 - DÉCIMO ANIVERSARIO,"Yanoinma Mtro, S.L.",2024-05-18T16:00:00Z,2024-02-06T07:00:00Z,2024-05-18T15:00:00Z,24.0,24.0,Undefined,Undefined,Chumi DJ,Dance/Electronic,Dance/Electronic,Individual,Individual,Carmen 24,Bigastro,Alacant,0,0,0,0,0,0,,0
El Pau,"Eo Música Representación y Producción, S.L.U.",2024-05-18T22:00:00Z,2024-02-12T09:00:00Z,2024-05-18T20:30:00Z,13.0,13.0,Other,Other,El Pau,Rock,Rock,Individual,Artist,El Volander,Valencia,Valencia,0,0,0,0,0,0,,0
Eva Ruiz,Live Nation España S.A.U.,2024-05-23T18:30:00Z,2024-02-02T09:00:00Z,2024-05-23T18:30:00Z,23.0,23.0,Hip-Hop/Rap,Hip-Hop/Rap,Eva Ruíz,Hip-Hop/Rap,Hip-Hop/Rap,Individual,Artist,Sala Razzmatazz 3,Barcelona,Barcelona,0,0,0,0,0,0,SALA,0
Carmen Boza,"Eo Música Representación y Producción, S.L.U.",2024-05-24T21:00:00Z,2024-01-31T16:30:00Z,2024-05-24T21:00:00Z,17.0,17.0,Other,Other,Carmen Boza,Ballads/Romantic,Ballads/Romantic,Undefined,Undefined,La Llotja Sala Cultural,Elche,Alacant,0,0,0,0,0,0,SALA,0
El Pau,"Eo Música Representación y Producción, S.L.U.",2024-05-24T21:30:00Z,2024-02-12T09:00:00Z,2024-05-24T20:00:00Z,13.0,13.0,Other,Other,El Pau,Rock,Rock,Individual,Artist,Sala Niágara,Santander,Cantabria,0,0,0,0,0,0,SALA,0
El Pau,"Eo Música Representación y Producción, S.L.U.",2024-05-25T20:00:00Z,2024-01-09T09:00:00Z,2024-05-25T18:30:00Z,15.0,15.0,Other,Other,El Pau,Rock,Rock,Individual,Artist,Tizón Sound,Gijón,Asturias,0,0,0,0,0,0,,0
